Date,Close,Volume,Market_Cap,Variance,Ethereum,Litecoin,Market_Cap_stndrd,Close_stndrd,Litecoin_stndrd,Ethereum_stndrd,Volume_stndrd,Volume_divided,Market_Cap_divided
2017-08-30,4565.3,1937849984,75482724984,38049.992,378.48,64.17,-0.6945668072874681,-0.6636859013344881,-0.4661572508410009,-0.21504478077170175,-0.7779875430970379,1937.849984,7548.2724984
2017-08-31,4703.39,1944930048,77775374625,38049.992,383.04,71.06,-0.6555517314781767,-0.6240328485114168,-0.3635135176975111,-0.19754227202816138,-0.7761775723781957,1944.930048,7777.5374625
2017-09-01,4892.01,2599079936,80905039782,38049.992,387.74,86.04,-0.6022927767846921,-0.569869919816452,-0.14034905870048972,-0.1795024055600387,-0.6089485553786503,2599.079936,8090.5039782
2017-09-02,4578.77,2722139904,75734114962,38049.992,348.98,79.02,-0.6902887881457871,-0.6598179411525287,-0.24492946605423419,-0.3282737298801316,-0.5774891026474813,2722.139904,7573.4114962
2017-09-03,4582.96,1933190016,75812181334,38049.992,347.48,76.84,-0.6889602967063329,-0.6586147671983782,-0.27740600281080996,-0.3340311340720857,-0.7791788325586503,1933.190016,7581.2181334
2017-09-04,4236.31,2987330048,70087101256,38049.992,295.17,65.21,-0.7863866235479725,-0.7581565932619427,-0.45066385715896484,-0.5348110095928303,-0.5096950268360858,2987.330048,7008.7101256
2017-09-05,4376.53,2697969920,72417728536,38049.992,312.99,71.29,-0.7467252647488404,-0.7178919030827043,-0.36008709409475304,-0.4664130477924161,-0.5836679964138206,2697.96992,7241.7728536
2017-09-06,4597.12,2172100096,76077049312,38049.992,334.34,80.11,-0.6844529162255472,-0.6545486709714632,-0.2286911976759462,-0.38446599479360344,-0.7181030782665655,2172.100096,7607.7049312
2017-09-07,4599.88,1844620032,76132843874,38049.992,329.43,78.48,-0.6835034344437487,-0.6537561267916407,-0.25297411277375287,-0.4033118978485996,-0.8018211529682281,1844.620032,7613.2843874
2017-09-08,4228.75,2700890112,69999555938,38049.992,296.5,67.79,-0.7878764225811248,-0.7603274751458042,-0.41222832283237487,-0.5297061112092978,-0.582921468979408,2700.890112,6999.9555938
2017-09-09,4226.06,1386230016,69963847482,38049.992,294.4,66.01,-0.7884840898378038,-0.7610999185674426,-0.43874586201893684,-0.5377664770780336,-0.9190054759870007,1386.230016,6996.3847482
2017-09-10,4122.94,1679090048,68263826801,38049.992,288.75,61.61,-0.8174141254439631,-0.7907112069092135,-0.50429483528909,-0.5594526995343938,-0.8441377795030178,1679.090048,6826.3826801
2017-09-11,4161.27,1557330048,68907352119,38049.992,294.53,66.04,-0.8064629584544805,-0.7797046060350854,-0.43829893720118573,-0.5372675020480642,-0.8752649041626565,1557.330048,6890.7352119
2017-09-12,4130.81,1864530048,68412822896,38049.992,291.46,64.23,-0.8148785902109487,-0.7884513073819661,-0.46526340120549875,-0.5490509892942635,-0.7967312913551582,1864.530048,6841.2822896
2017-09-13,3882.59,2219409920,64311123695,38049.992,277.11,61.73,-0.8846790963206063,-0.8597285959020816,-0.5025071360180858,-0.6041301560639573,-0.7060086401155015,2219.40992,6431.1123695
2017-09-14,3154.95,2716310016,52265453816,38049.992,213.91,41.58,-1.0896658134789663,-1.0686731056868566,-0.8026916386075371,-0.8467087860182884,-0.5789794742845356,2716.310016,5226.5453816
2017-09-15,3637.52,4148069888,60267886368,38049.992,250.46,48.21,-0.9534847297705807,-0.9301013503039216,-0.7039212538845563,-0.7064200372076744,-0.212959697523594,4148.069888,6026.7886368
